Chemical,Repellency_skin_YF,Repellency_skin_M,Repellency_clothes_YF,Repellency_clothes_M
"Caprylic acid, alpha-hydroxy-, propyl ester",3,2,-,-
"Caprylic acid, zeta-hydroxy-, ethyl ester",2,2,-,-
"Caprylic acid, zeta-hydroxy-beta, zeta-dimethyl-",2,1,-,-
"Caprylic acid, zeta-methyl-gamma-oxo-",-,-,1,1
Caprylic anhydride,4,3,4,-
"Caprylophenone, p-hydroxy-",-,-,1,-
"Carbamic acid, 2-(2-butoxyethoxy)ethyl ester",-,-,4A,-
"Carbamic acid, decyl ester",-,-,-,-
"Carbamic acid, diester with diethylene glycol",-,-,1,-
"Carbamic acid, ethyl ester",-,-,1,1
"Carbamic acid, methyl ester",2,3,4,-
"Carbamic acid, 2-methylallyl ester",-,-,-,-
"Carbamic acid, allyl-, ethyl ester",-,-,-,-
"Carbamic acid, amyl-, ethyl ester",2,2,3,-
"Carbamic acid, benzyl-, ethyl ester",-,-,1,-
"Carbamic acid, benzyl-, isopropyl ester",-,-,1,-
"Carbamic acid, bis(2-chloroethyl)-, 6-nitroso-thymyl ester",-,-,1,-
"Carbamic acid, bis(2-chloroethyl)-, 4-nitroso-3, 5-xylyl ester",-,-,-,-
"Carbamic acid, (2-bromoethyl)nitroso-, methyl ester",-,-,-,-
"Carbamic acid, butoxyacetyl-, butyl ester",2,1,4A,-
"Carbamic acid, (2-butoxyethoxy)acetyl-, butyl ester",4,2,1,-
"Carbamic acid, butyl-, ethyl ester",-,-,1,-
"Carbamic acid, (butyl)nitroso-, methyl ester",-,-,-,-
"Carbamic acid, (2-chloroethyl)-, 2-chloroethyl ester",1,1,-,-
"Carbamic acid, (2-chloroethyl)-, methyl ester",-,-,-,-
"Carbamic acid, (2-chloroethyl)ethyl-, 4-nitroso-3, 5-xylyl ester",-,-,-,-
"Carbamic acid, (2-chloroethyl)nitroso-, isopropyl ester",-,-,-,-
"Carbamic acid, chlorohexyl-, zinc salt",-,-,1,-
"Carbamic acid, (2-chloropropyl)nitroso-, methyl ester",-,-,-,-
"Carbamic acid, (2-cyanoethyl)ethyldithio-, zinc salt",-,-,-,-
"Carbamic acid, decyl-, ethyl ester",-,-,1,-
"Carbamic acid, diamyl-, ethyl ester",1,1,-,-
"Carbamic acid, dibutyl-, ethyl ester",1,1,-,-
"Carbamic acid, dibutyldithio-, sodium salt",-,-,2,-
"Carbamic acid, dibutyldithio-, zinc salt",-,-,1,-
"Carbamic acid, dicyclohexyl-, ethyl ester",1,2,-,-
"Carbamic acid, dicyclohexyl-, 2-(2-hydroxyethoxy)ethyl ester",-,-,1,-
"Carbamic acid, dicyclohexyl-, methyl ester",-,-,1,-
"Carbamic acid, didodecyl-, 2-(2-hydroxyethoxy)-ethyl ester",-,-,1,1
"Carbamic acid, diethyl-, ethyl ester",-,-,1,-
"Carbamic acid, diethyl-, 2-methylenebutyl ester",-,-,-,-
"Carbamic acid, (4-diethylamino-1-methylbutyl)-ethyl ester",-,-,4A,1
"Carbamic acid, diethyldithio-, cadmium salt",-,-,-,-
"Carbamic acid, diethyldithio-, carbomethoxymethyl ester",2,2,-,-
"Carbamic acid, diethyldithio-, cupric salt",-,-,-,-
"Carbamic acid, diethyldithio-, ferric salt",-,-,-,-
"Carbamic acid, diethyldithio-, selenium salt",-,-,1,-
"Carbamic acid, diethyldithio-, sodium salt",-,-,-,-
"Carbamic acid, diethyldithio-, zinc salt",-,-,1,-
"Carbamic acid, diisopropyldithio-, zinc salt",-,-,1,-
"Carbamic acid, dimethyl-, 4-(dimethylaminomethyl)-o-phenylene diester, hydrochloride",-,-,-,-
"Carbamic acid, dimethyl-, o-hydroxyphenyl ester",-,-,-,-
"Carbamic acid, dimethyl-, 2-methoxy-4-propylphenyl ester",-,-,-,-
"Carbamic acid, dimethyl-, 3-methyl-1-phenyl-5-pyrazolyl ester",-,-,1,-
"Carbamic acid, dimethyl-, phenethyl ester",-,-,4,-
"Carbamic acid, dimethyl-, 4-propyl-o-phenylene diester",-,-,-,-
"Carbamic acid, dimethyldithio-, cadmium salt",-,-,-,-
"Carbamic acid, dimethyldithio-, cupric salt",-,-,-,-
"Carbamic acid, dimethyldithio-, diphenylcarbamyl ester",-,-,1,1
"Carbamic acid, dimethyldithio-, ferric salt",-,-,-,-
"Carbamic acid, dimethyldithio-, methyl ester",-,-,2,3
"Carbamic acid, dimethyldithio-, 2-nitro-4-sulfophenyl, sodium salt",-,-,1,1
"Carbamic acid, dimethyldithio-, sodium salt",-,-,-,-
"Carbamic acid, dimethyldithio-, zinc salt",-,-,-,-
"Carbamic acid, diphenyl-, ethyl ester",-,-,1,1
"Carbamic acid, ethylenebis(dithio-, disodium salt",-,-,1,1
"Carbamic acid, ethylenebis(dithio-, ferric salt",-,-,-,-
"Carbamic acid, ethylenebis(dithio-, manganese salt",-,-,-,-
"Carbamic acid, ethylenebis(dithio-, zinc salt",-,-,-,-
"Carbamic acid, (ethyl)nitroso-, ethyl ester",-,-,-,-
"Carbamic acid, ethylthiono-, ethyl ester",-,-,1,-
"Carbamic acid, hydroxyethyl-, allyl ester",-,-,1,-
"Carbamic acid, 2-hydroxyethyl-, ethyl ester",-,-,1,-
"Carbamic acid, isoamyl-, ethyl ester",-,-,-,-
"Carbamic acid, isobutyl-, ethyl ester",-,-,1,-
"Carbamic acid, isopropyl-, ethyl ester",-,-,4A,-
