MATERIAL,Repellent_cloth_YF,Repellent_skin_YF,Repellent_wash_YF,Repellent_space_YF
"Acetic acid, chloro-, 4-tert-butyl-2-chlorophenyl ester",N/A,N/A,N/A,N/A
"Acetic acid, chloro-, 6-tert-butyl-o-cumenyl ester",N/A,N/A,N/A,N/A
"Acetic acid, chloro-, 2-(p-sec-butylphenoxy)-1-methylethyl ester",N/A,N/A,N/A,N/A
"Acetic acid, chloro-, p-tert-butylphenyl ester",N/A,N/A,N/A,N/A
"Acetic acid, chloro-, 4-tert-butyl-m-tolyl ester",1,-,-,-
"Acetic acid, chloro-, 4-tert-butyl-o-tolyl ester",1,-,-,-
"Acetic acid, chloro-, carvacryl ester",1,-,-,-
"Acetic acid, chloro-, p-chlorobenzyl ester",1,-,-,-
"Acetic acid, chloro-, 3-chloro-4-biphenylyl ester",1,-,-,-
"Acetic acid, chloro-, (chloromethyl)ethylene ester",1,-,-,-
"Acetic acid, chloro-, 2-(Ï-chlorophenoxy)-1-methylethyl ester",1,-,-,-
"Acetic acid, chloro-, Ï-chlorophenyl ester",2,-,-,-
"Acetic acid, chloro-, p-chlorophenyl ester",2,-,-,-
"Acetic acid, chloro-, 4-chloro-o-tolyl ester",1,-,-,-
"Acetic acid, chloro-, 6-chloro-o-tolyl ester",1,-,-,-
"Acetic acid, chloro-, p-cumenyl ester",1,-,-,-
"Acetic acid, chloro-, 2-cyclohexylcyclohexyl ester",1,-,-,6
"Acetic acid, chloro-, 2-cyclohexyl-4,6-dinitrophenyl ester",1,-,-,-
"Acetic acid, chloro-, p-cyclohexylphenyl ester",1,-,-,-
"Acetic acid, chloro-, trans-1,2-cyclopentylene ester",1,-,-,-
"Acetic acid, chloro-, cyclopentyl ester",1,-,-,-
"Acetic acid, chloro-, decyl ester",1,-,-,6
"Acetic acid, chloro-, 2,6-dibromo-4-tert-butylphenyl ester",1,-,-,-
"Acetic acid, chloro-, 2,3-dibromopropyl ester",1,-,-,6
"Acetic acid, chloro-, 3,5-dichloro-2-biphenylyl ester",1,-,-,-
"Acetic acid, chloro-, 2,4-dichloro-1-naphthyl ester",1,-,-,-
"Acetic acid, chloro-, 2,4-dichlorophenyl ester",1,-,-,-
