Chemical,Repellent_skin_YF,Repellent_cloth_YF,
Allyl 2-phenoxyethyl ether,3,3,
Allyl phenyl ether,1,N/A,
N-Allyl-N'-phenylthiourea,N/A,1,
N-Allyl phthalimide,N/A,1,
N-Allylsaccharin,N/A,1,
"N-Allyl-1,2,3,6-tetrahydro-phthalimide",4,4,
Allyl beta-o-tolylethyl ether,2,3,
Alox 152 (methyl esters of oxidized petroleum oil),N/A,N/A,
Alox 350 (methyl esters of oxidized petroleum oil),N/A,N/A,
"Alox 400 (oxidized petroleum oil, primarily fatty acids)",N/A,N/A,
Alox 600 (primarily alcohols and ketones from oxidized petroleum oil),N/A,N/A,
Alox 701 (lead salts of oxidized petroleum oil products),N/A,N/A,
Alox 702 (primarily alcohols and ketones from oxidized petroleum oil),N/A,N/A,
Alox 800 (mixture of fatty acids from oxidized petroleum oil),N/A,N/A,
"Aluminum chloride, anhydrous",N/A,N/A,
Aluminum isopropoxide resinate stearate,N/A,N/A,
"Aluminum oxide, reagent, ignited",N/A,N/A,
p-Aminoacetamilide,N/A,N/A,
Aminoacetic acid,N/A,N/A,
p-Aminoacetophenone,N/A,N/A,
1-Aminoanthraquinone,N/A,N/A,
2-Aminoanthraquinone,N/A,N/A,
2-Amino-5-azoanisole,N/A,1,
p-Aminoazobenzene,N/A,1,
p-Aminoazobenzene hydrochloride,N/A,N/A,
2-Amino-5-azotoluene,N/A,N/A,
N-(p-Aminobenzenesulfonyl) pi-perazine,N/A,N/A,
m-Aminobenzoic acid,N/A,N/A,
p-Aminobenzoic acid,N/A,1,
"p-Aminobenzoic acid, n-anyl ester",N/A,1,
"p-Aminobenzoic acid, iso-amyl ester",N/A,1,
"p-Aminobenzoic acid, butyl ester (Butesin)",N/A,1,
"p-Aminobenzoic acid, iso-butyl ester",N/A,1,
"p-Aminobenzoic acid, gamma-di-n-butylaminopropyl sulfate ester (Butyn sulfate)",N/A,1,
"m-Aminobenzoic acid, ethyl ester",4,N/A,
"p-Aminobenzoic acid, ethyl ester (Benzocaine)",N/A,1,
"m-Aminobenzoic acid, ethyl ester hydrochloride",N/A,N/A,
"m-Aminobenzoic acid, methyl ester",1,N/A,
"p-Aminobenzoic acid, methyl ester",N/A,1,
"p-Aminobenzoic acid, propyl ester",N/A,1,
"p-Aminobenzoic acid, pyridine alpha-ammonium salt",N/A,1,
p-Aminobenzophenone,N/A,1,
2-Amino-1-butanol,2,N/A,
"alpha-Amino-iso-butyric acid, dodecyl ester",N/A,1,
2-Amino-4-chloro-6-methylpyrimidine,N/A,N/A,
Aminocresol methyl ether,N/A,3,
"beta-Aminocrotonic acid, ethyl ester",2,N/A,
3-Aminodihenzothiophene-5-dioxide,N/A,N/A,
"1-Amino-2,3-dihydroxypropane",N/A,1,
"2-Amino-4,6-dimethylpyrimidine",N/A,1,
o-Aminodiphenyl,N/A,1,
p-Aminodiphenyl,N/A,1,
"2-Amino-2-ethyl-1,3-propanediol",3,3,
"m-Amino-p-hydroxybenzoic acid, methyl ester",N/A,1,
2-Amino-5-hydroxybiphenyl,N/A,1,
2-Amino-4-methyl-6-hydroxy-pyrimidine,N/A,N/A,
"2-Amino-2-methyl-1,3-propanediol",N/A,1,
2-Amino-2-methyl-1-propanol,2,2,
N-(2-Amino-2-methyl-1-propanol) butoxyacetamide,2,N/A,
2-Amino-4-methylpyrimidine,N/A,1,
1-Amino-2-naphthol-4-sulfonic acid,N/A,N/A,
2-Amino-4-nitrophenol,N/A,1,
5-Aminononane,N/A,1,
o-Aminophenol,N/A,1,
p-Aminophenylammonium-2-benzo-thiazalyl sulfide,N/A,N/A,
(3-Aminopropoxy) ethanol,N/A,1,
5-Aminosalicylic acid hydrochloride,N/A,N/A,
m-Aminotrifluoroitolene,1,N/A,
Ammonium chloride,N/A,N/A,
Ammonium dinitro-o-cresylate,N/A,N/A,
2-Amoxycyclohexanol,3,2,
2-Amoxyphenol,2,3,
"Amsco, Solv D"" (aromatic petroleum fraction)""",N/A,N/A,
"Amsco, Solv E"" (aromatic petroleum fraction)""",N/A,N/A,
"Amsco, Solv F"" (aromatic petroleum fraction)""",N/A,N/A,
N-Amylacetamide,N/A,4,
N-n-Amylacetamilide,4,4,
N-iso-Amylacetamilide,4,4,
"2(iso-Amyl)acetic acid, n-amyl ester",1,N/A,
"2-Amylacetoacetic acid, ethyl ester",1,N/A,
n-Amyl alcohol,1,N/A,
N-Amyl amido chlormaletic acid,N/A,2,
N-Amylbenzamide,N/A,N/A,
tert-Amylbenzene,1,N/A,
Amyl benzyl ether,N/A,N/A,
iso-Amyl benzyl ether,1,N/A,
N-Amyl butoxyacetamide (Indimide A),4,4,
N-n-Amyl-n-butyranilide,2,2,
N-iso-Amyl-n-butyranilide,2,1,
"N-Amylcarbanic acid, ethyl ester",2,3,
n-Amyl-chloro-m-cresol,N/A,2,
2(l-tert-Amyl-2-chlorophenoxy) ethanol,1,N/A,
alpha-n-Amylcinnamaldehyde,2,4,
N-Amylcinnamamide,N/A,1,
p-tert-Amyl-o-cresol,N/A,N/A,
x-Amylcyclohexanol,3,N/A,
1-iso-Amylcyclohexanol-1,2,2,
l-tert-Amylcyclohexanol,3,4,
"2-(l-tert-Amyl-2,6-dichloro-phenoxy) ethanol",1,N/A,
"l-tert-Amyl N,N-di-(2-hydroxy-ethyl) aniline",N/A,2,
Amyldiphenylamine,N/A,N/A,
tert-Amyl diphenylene sulfide,1,N/A,
x-tert-Amyldiphenyl ether,1,N/A,
"N-Amyl-3,6-endomethylenchexa-hydrophthalimide",2,N/A,
"iso-Amylethylmalonic acid, diethyl ester",1,N/A,
"5-tert-Amylfuroic acid, ethyl ester",2,2,
"5-tert-Amylfuroic acid, methyl ester",2,2,
"5-tert-Amylfuroic acid, n-propyl ester",1,N/A,
N-Amylhexahydrophthalimide,2,N/A,
"(1-Amylhexylidene) cyanoacetic acid, ethyl ester",1,N/A,
(3) N-(n-Amyl) hydantoin,N/A,1,
"2-Amyl-3-hydroxybutyric acid, ethyl ester",1,N/A,
x-Amyl-2-hydroxydiphenyl,2,1,
"N-(n-Amyl)inide of 1,2-dicarboxy-3,6-endomethylene-l-cyclohexene",4,4,
N-Amyl lepidone,1,N/A,
"tert-Amylmercaptoacetic acid, hydroabietyl ester",1,N/A,
N-Amyl-l-methylhexahydro-phthalimide,1,N/A,
"1-Amyl-2-methyl-5-oxo-2-pyrro-line-3-carboxylic acid, ethyl ester",1,N/A,
"N-Amyl-l-methyl-1,2,3,6-tetrahydrophthalimide",1,N/A,
Amylnaphthalenes,1,N/A,
Amyl beta-naphthyl ether,1,N/A,
N-Amyl-m-nitrobenzamide,N/A,1,
"2-n-Amylnonane-1,3-diol",2,1,
N-Amyl-alpha-(x-nonenyl) succinimide,1,N/A,
o-n-Amyloxybenzaldehyde,1,N/A,
o-iso-Amyloxybenzaldehyde,2,4,
o-n-Amyloxybenzyl alcohol,N/A,3,
o-iso-Amyloxybenzyl alcohol,1,N/A,
1-n-Amyloxyindane,1,N/A,
"beta-iso-Amyloxypropionic acid, iso-amyl ester",3,2,
o-Amylphenol,N/A,N/A,
p-tert-Amyl phenol (Pentaphen),N/A,2,
"1-(o-Amylphenoxy)-2,3-eoxypropane",1,N/A,
p-tert-Amylphenoxy ethanol,N/A,N/A,
"3-p-tert-Amylphenoxy-1,2-propane oxide",1,N/A,
p-tert-Amylphenyl n-amyl ether,1,N/A,
Amyl phenyl ether,1,2,
"alpha-(x-Amyl)x-(beta-phenyl-ethyl)malonic acid, diethyl ester",1,N/A,
p-tert-Amylphenyl methyl ether,1,N/A,
p-tert-Amylphenyl monoethanol-anine,N/A,N/A,
N-n-Amyl phthalimide,2,4,
N-iso-Amylphthalimide,2,2,
N-sec-Amyl phthalimide,2,N/A,
N-n-Amylproponamilide,4,4,
N-iso-Amylproponamilide,2,N/A,
N-(n-Amyl).saccharin,N/A,2,
N-(n-Amyl) succinimide,4,4,
"1-Amyl-1,4,5,6-tetrahydro-2-methyl-6-oxo-nicotinic acid, methyl ester",1,N/A,
"x-tert-Amyl-1,2,3,4-tetrahydro-2-naphthol",1,N/A,
"N-Amyl-1,2,3,6-tetrahydro-phthalimide",1,N/A,
N-Amyl-n-toluene sulfonamide,1,N/A,
Amyl tolyl ether,1,N/A,
tert-Amyl urea (mono),N/A,N/A,
Amyl xylyl ether,1,N/A,
Anethole,2,2,
Anethole (from oil of Anise),1,N/A,
Anethole (from Pine oil),N/A,3,
alpha-Angelica lactone,N/A,1,
Aniline,N/A,1,
"Aniline-N,N-diacetic acid, diethyl ester",2,2,
Anilino chloromaleic acid,N/A,N/A,
N-Anilino cinnamamide,N/A,N/A,
"beta-Anilincorotonic acid, ethyl ester",2,2,
N-Anilinomaleimide,N/A,N/A,
N-Anilinophthalimide,N/A,1,
N-Anilino-alpha-toluanide,N/A,N/A,
alpha-Anilino-alpha-tolunitrile,N/A,N/A,
Anisalacetone,N/A,1,
Anisaldinamalacetone,N/A,1,
Anisaldehyde,2,1,
Anisaldehyde di-n-butyrate,2,N/A,
Anisaldehyde diethyl acetal,1,N/A,
Anisaldehyde glycerol acetal,2,1,
Anisic acid,N/A,2,
"Anisic acid, n-amyl ester",1,N/A,
"Anisic acid, n-butyl ester",2,3,
"Anisic acid, iso-butyl ester",2,4,
"Anisic acid, ethyl ester",1,N/A,
"Anisic acid, methyl ester",N/A,4,
"Anisic acid, n-propyl ester",N/A,4,
"Anisic acid, iso-propyl ester",4,4,
"Anisic acid, tetrahydrofurfuryl ester",1,N/A,
o-Anisidine,2,2,
p-Anisidine,N/A,4,
alpha-(o-Anisidino)-alpha-tolunitrile,N/A,1,
Anisole,1,N/A,
Anisontirile,N/A,3,
"Anisoylacetic acid, ethyl ester",N/A,N/A,
beta-(p-Anisoyl)propionic acid,N/A,1,
"beta-(p-Anisoyl)propionic acid, allyl ester",N/A,2,
"beta-(p-Anisoyl)propionic acid, methyl ester",N/A,1,
"Anisoylpyruvic acid, ethyl ester",N/A,N/A,
Anisyl ethyl ether,3,3,
N-o-Anisylglycinonitrile,N/A,1,
Anthracene,N/A,N/A,
Anthracene oil,2,2,
Anthragallol,N/A,N/A,
Anthranilic acid,N/A,3,
"Anthranilic acid, iso-amyl ester",1,N/A,
"Anthranilic acid, n-butyl ester",3,N/A,
"Anthranilic acid, iso-butyl ester",N/A,N/A,
"Anthranilic acid, sec-butyl ester",2,4,
"Anthranilic acid, tert-butyl ester",3,N/A,
"Anthranilic acid, cyclohexyl ester",1,N/A,
"Anthranilic acid, ethyl ester",4,4,
"Anthranilic acid, fenohyl ester",N/A,1,
"Anthranilic acid, n-hexyl ester",1,N/A,
"Anthranilic acid, menthyl ester",2,1,
"Anthranilic acid, methyl ester",4,N/A,
"Anthranilic acid, n-propyl ester",4,N/A,
"Anthranilic acid, iso-propyl ester",4,N/A,
Anthraquinone,N/A,N/A,
"Anthraquinone blue, AB base",N/A,1,
2-Anthroic acid,N/A,N/A,
Anthrone,N/A,N/A,
Antimony sulfide,N/A,N/A,
APS 200 (chiefly polymethyl naphthalenes),N/A,N/A,
APS 202 (chiefly polymethyl naphthalenes),N/A,N/A,
Areskap-100 (Sodium monosulfonate of butyl phenyl phenol),N/A,N/A,
"Aresket (mono butyl diphenyl sulfonic acid, sodium salt)",N/A,N/A,
Aresklene-400 (Dibutyl phenyl phenol sodium disulfonate),N/A,N/A,
Arichidonic acid (unsaturated C20 acids) (Neo-Fat 19),N/A,1,
Aroclor 1219 (chlorinated biphenyl),1,N/A,
Aroclor 1232 (chlorinated biphenyl),1,N/A,
Aroclor 1242 (chlorinated biphenyl),N/A,1,
Aroclor 1248 (chlorinated biphenyl),1,N/A,
Aroclor 1254 (chlorinated biphenyl),N/A,N/A,
Aroclor 1260 (chlorinated diphenyl),N/A,N/A,
Aroclor 1268 (chlorinated Diphenyl),N/A,N/A,
Aroclor 1270 (chlorinated biphenyl),N/A,N/A,
Aroclor 5442 (chlorinated biphenyl),N/A,1,
Aroclor 5460 (chlorinated biphenyl),N/A,1,
"Aromatic acids (mixed) produced by oxidation of bituminous coal, methyl esters of",1,N/A,
"Arsenic, red",N/A,N/A,
"Arsenic sulfide, red",N/A,N/A,
Arsenic sulfide (yellow),N/A,N/A,
Arsenious acid,N/A,N/A,
Aryl hydrindane (b10 195 Celsius),1,N/A,
Aryl hydrindane (b10 205 Celsius),1,N/A,
Aryl hydrindane (b1n 212-234 Celsius),1,N/A,
Asarinin,N/A,N/A,
Ascaridol,N/A,N/A,
Asparagin (alpha-Amino succinic acid amide),N/A,N/A,
Aspartic acid,N/A,N/A,
Astrotone BR 10%,1,N/A,
Atabrine,N/A,1,
Azelaic acid,N/A,2,
"Azelaic acid, diamyl ester",1,N/A,
"Azelaic acid, di-2-butoxyethyl ester",1,N/A,
"Azelaic acid, dibutyl ester",1,N/A,
"Azelaic acid, di-iso-butyl ester",1,N/A,
"Azelaic acid, diethyl ester",1,N/A,
"Azelaic acid,di-(2-ethylhexyl) ester",1,N/A,
"Azelaic acid, dimethyl ester",2,4,
"Azelaic acid, dioctyl ester",1,N/A,
"Azelaic acid, di(phenoxyethyl) ester",N/A,1,
"Azelaic acid, di-n-propyl ester",2,2,
"Azelaic acid, di-iso-propyl ester",1,N/A,
"Azelnic acid, methyl hydrogen ester",2,N/A,
p.p'-Azobisbiphenyl,N/A,N/A,
p.p'-Azobisphenetole,N/A,1,
p.p'-Azobisphenol,N/A,1,
p.p'-Azobiotoluene,N/A,N/A,
Azoxybenzene,N/A,1,
p.p'-Azoxydis-(benzoic acid),N/A,N/A,
"Babassu oil fatty acids, glycidyl esters",1,N/A,
Barbituric acid,N/A,N/A,
"Benzalacetoacetic acid, ethyl ester",N/A,1,
"alpha-Benzalacetoacetic acid, methyl ester",N/A,4,
Benzalacetone,N/A,4,
Benzal acetonyl acetone,N/A,2,
Benzalacetophenone,N/A,1,
Benzal acetylacetone,N/A,4,
Benzalaniline,N/A,2,
"Benzalcyanacetic acid, ethyl ester",N/A,1,
"Benzaldehyde, di-n-butyrate",1,N/A,
Benzaldehyde dipropionate,1,N/A,
"Benzaldehyde 2-nitro-2-ethyl-1,3-propanediol acetal",1,N/A,
"Benzaldehyde 2-nitro-2-methyl-1,3-propanediol acetal",N/A,1,
Benzaldehyde phenylhydrozone,N/A,N/A,
Benzaldehyde-4-phenyl-3-thiosemicarbazone,N/A,N/A,
Benzaldehyde semicarbazone,N/A,N/A,
"Benzal-9,10-dihydroxysteric acid, butyl ester",1,N/A,
Benzalidoxine,N/A,4,
"delta-Benzallevulinic acid, methyl ester",N/A,1,
"delta-Benzallevulinic acid, n-propyl ester",1,N/A,
Benzal neopentyl methyl ketone,1,N/A,
gamma-Benzal picoline,N/A,N/A,
Benzalpinacolone,N/A,2,
Benzamide,N/A,1,
Benzanilide,N/A,N/A,
o-Benzaniside,N/A,N/A,
p-Benzaniside,N/A,N/A,
Benzene,1,N/A,
Benzeneazo-o-cresol,N/A,1,
Benzeneazoresorcinol,N/A,2,
"Benzene hexachloride, crude product said to contain 10-12 % gamma isomer",N/A,N/A,
alpha-Benzene hexachloride,N/A,N/A,
beta-Benzene hexachloride,N/A,N/A,
gamma-Benzene hexachloride,N/A,N/A,
delta-Benzene hexachloride,N/A,N/A,
Benzene sulfonamide,N/A,1,
o-Benzenesulfonaniside,N/A,N/A,
"Benzenesulfonic acid, p-bromo-phenyl ester",N/A,1,
"Benzenesulfonic acid, 4-tert-butyl-2-chlorophenyl ester",N/A,N/A,
"Benzenesulfonic acid, p-tert-butylphenyl ester",N/A,1,
"Benzenesulfonic acid, o-chlorophenyl ester",N/A,1,
"Benzenesulfonic acid, p-chlorophenyl ester",1,N/A,
"Benzenesulfonic acid, 2,4-dinitrophenyl ester",N/A,1,
"Benzenesulfonic acid, hydroquinone diester",N/A,1,
"Benzenesulfonic acid, methyl ester",N/A,3,
"Benzenesulfonic acid, 1-naphthyl ester",N/A,1,
"Benzenesulfonic acid, 2-naphthyl ester",N/A,1,
"Benzenesulfonic acid, o-nitrophenyl ester",N/A,1,
"Benzenesulfonic acid, m-nitrophenyl ester",N/A,1,
"Benzenesulfonic acid, p-nitrophenyl ester",N/A,N/A,
"Benzenesulfonic acid, phenyl ester",1,N/A,
"Benzenesulfonic acid, o-tolyl ester",N/A,N/A,
"Benzenesulfonic acid, m-tolyl ester",N/A,1,
"Benzenesulfonic acid, p-tolyl ester",N/A,1,
"Benzenesulfonic acid, 2,4,6-trichlorophenyl ester",N/A,N/A,
"Benzenesulfonic acid, xenyl ester",N/A,1,
o-Benzenesulfonophenetide,N/A,N/A,
o-Benzenesulfonotoluide,N/A,N/A,
Benzhydrol,N/A,N/A,
Benzhydryl iso-amyl ether,1,N/A,
Benzhydryl n-amyl thioether,1,N/A,
Benzhydryl cyclohexyl ether,2,N/A,
Benzhydryl ethylene glycol monoether,N/A,N/A,
Benzhydryl ethyl ethylene glycol diether,1,N/A,
Benzhydryl 2-ethylhexyl ether,1,N/A,
Benzhydryl methyl ether,1,N/A,
Benzhydryltoluene,1,N/A,
Benzidine,N/A,2,
Benzil,N/A,1,
Benzilic acid,N/A,3,
"Benzilic acid, ethyl ester",1,N/A,
"N'-Benzilidene-N,N-dimethyl-p-phenylene diamine",N/A,N/A,
Benzimidazole,N/A,N/A,
"1,4-Benzodioxan",1,N/A,
Benzodioxene,2,N/A,
Benzoic acid,N/A,4,
"Benzoic acid, acetonyl ester",1,4,
"Benzoic acid, allyl ester",1,N/A,
"Benzoic acid, o-allyl-p-cresol ester",1,N/A,
"Benzoic acid, ammonium salt",N/A,1,
"Benzoic acid, amyl ester",1,N/A,
"Benzoic acid, iso-amyl ester",1,N/A,
"Benzoic acid, tert-amyl ester",1,N/A,
"Benzoic acid, benzyl ester",2,1,
"Benzoic acid, 2-butene-1, 4-adol diester",N/A,1,
"Benzoic acid, n-butyl ester",N/A,1,
"Benzoic acid, iso-butyl ester",1,N/A,
"Benzoic acid, tert-butyl ester",2,1,
"Benzoic acid, 4-tert-butyl-phenyl ester",N/A,1,
"Benzoic acid, 3-buty-n-1-yl ester",2,4,
"Benzoic acid, butyraldehyde oxime ester",N/A,4,
"Benzoic acid, iso-butyraldehyde oxime ester",N/A,1,
"Benzoic acid, cetyl ester",2,N/A,
"Benzoic acid, 2-chloroallyl ester",2,3,
"Benzoic acid, p-chlorobenzyl ester",N/A,1,
"Benzoic acid, alpha-chloroethyl ester",N/A,2,
"Benzoic acid,2-chlorophenyl ester",1,N/A,
"Benzoic acid, 4-chlorophenyl ester",N/A,1,
"Benzoic acid, alpha-chloro-n-propyl ester",2,N/A,
"Benzoic acid, m-cresyl ester",N/A,1,
"Benzoic acid, o-crosyl ester",N/A,1,
"Benzoic acid, cyclohexyl ester",3,2,
"Benzoic acid, cyclopentyl ester",1,N/A,
"Benzoic acid, n-decyl ester",1,N/A,
"Benzoic acid, beta-diethyl-animotthyl ester",N/A,3,
"Benzoic acid, diethyleneglycol diester",1,N/A,
"Benzoic acid, diethylene glycol monoster",1,N/A,
"Benzoic acid, 2,5-dimethyl-benzyl ester",2,1,
"Benzoic acid, dimethylethynyl carbinyl ester",2,N/A,
"Benzoic acid, 3,3-dimethyl-5-methylcyclohexyl ester",1,N/A,
"Benzoic acid, 3,5-dimethyl-nhenyl ester",3,1,
"Benzoic acid, dinitro-o-cyclohexylphenyl ester",N/A,1,
"Benzoic acid, 2,5-endonethanol, 2,5,6-tetrahydrobenzyl ester",1,N/A,
"Benzoic acid, ethyl ester",1,N/A,
"Benzoic acid, ethylene glycol monester",2,4,
"Benzoic acid, 2-ethyl-2-hexonal oxine ester",2,1,
"Benzoic acid, 2-ethylhexyl ester",1,N/A,
"Benzoic acid, ethylphenyl-carbinyl ester",1,N/A,
"Benzoic acid, 1-ethymylicyclohexyl ester",1,N/A,
"Benzoic acid, furfuryl ester",N/A,2,
"Benzoic acid, glycerol trisster",N/A,1,
"Benzoic acid, guaiacol ester",N/A,1,
"Benzoic acid, n-heptyl ester",1,N/A,
"Benzoic acid, 2-heptyl ester",1,N/A,
"Benzoic acid, n-hexyl ester",2,2,
"Benzoic acid, 2-hexyl ester",2,2,
"Benzoic acid, F ester",1,N/A,
"Benzoic acid, 2-hydroxypropyl ester",1,N/A,
"Benzoic acid, isoeupenyl ester",1,N/A,
"Benzoic acid, methyl ester",N/A,2,
"Benzoic acid, alpha-methyl-benzyl ester",1,N/A,
"Benzoic acid, methyleenzyl ester",N/A,N/A,
"Benzoic acid, 3-methylbenzyl ester",1,N/A,
"Benzoic acid, 5-methyl-2-hexyl ester",2,N/A,
"Benzoic acid, 2-methylpentanol-1 ester",1,N/A,
"Benzoic acid, 4-methyl-2-pentyl ester",1,N/A,
"Benzoic acid, beta-naphthyl ester",N/A,1,
"Benzoic acid, 1-naphthylmethyl ester",1,N/A,
"Benzoic acid, 2-nitro-2-ethyl-1,3-propanediol diester",N/A,1,
"Benzoic acid, 2-nitro-2-methyl-1,3-propanediol diester",N/A,1,
"Benzoic acid, 2-octyl ester",2,1,
"Benzoic acid, pentandiol-1,5 diester",1,N/A,
"Benzoic acid, neo-pentyl ester",1,N/A,
"Benzoic acid, phenyl ester",N/A,1,
"Benzoic acid, 2-phenylcyclo-hexyl ester",1,N/A,
"Benzoic acid, 2-(1-phenyl-ethoxy)-ethyl ester",1,N/A,
"Benzoic acid, phenylethyl ester",1,N/A,
"Benzoic acid, (alpha-phenyl-ethyl) phenyl ester",N/A,1,
"Benzoic acid, 1,3-propanediol monoester",4,4,
"Benzoic acid, propyl ester",1,N/A,
"Benzoic acid, iso-propyl ester",1,N/A,
"Benzoic acid, n-propyl-phenylcarbinyl ester",1,N/A,
"Benzoic acid, iso-propylphenyl-carbinyl ester",2,N/A,
"Benzoic acid, resorcinol diester",N/A,N/A,
"Benzoic acid, sodium salt",N/A,1,
"Benzoic acid, 1,2,3,4-tetrahydro-2-naphthyl ester",N/A,1,
"Benzoic acid, 2-thenyl ester",N/A,1,
"Benzoic acid, o-tolyl ester",3,2,
"Benzoic acid, beta-trichlorotert-butyl ester",1,N/A,
"Benzoic acid, xylyl ester (prepared from 10^0 xylene)",1,N/A,
"Benzoic acid, p-xylyl ester",2,2,
Benzoic anhydride,N/A,N/A,
Benzoin,N/A,1,
o-Benzophenetide,N/A,N/A,
Benzophenone,N/A,2,
N-(p-Benzophenone)anido maleic acid,N/A,N/A,
Benzorinacol,N/A,1,
Benzothiazole,2,2,
2-(2-Benzothiazylthio)-2'-chlorodiethyl ether,1,N/A,
m-Benzotoluide,N/A,N/A,
p-Benzotoluide,N/A,N/A,
Benzoxazole,1,N/A,
2-Benzoxycyclohexanol,2,N/A,
"Benzoylacetic acid, ethyl ester",2,N/A,
"Benzoylacetoaectic acid, ethyl ester",N/A,2,
Benzoylacetonitrile,N/A,1,
"beta-Benzoylacrylic acid, ethyl ester",N/A,4,
"beta-Benzoylacrylic acid, methyl ester",N/A,2,
"N'(alpha-Benzoyl)benzilidene-N,N-dimethyl-p-phenylenediamine",N/A,N/A,
"Benzoylbenzoic acid, n-butyl ester",1,N/A,
"Benzoylbenzoic acid, ethyl ester",N/A,1,
"Benzoylbenzoic acid, methyl ester",N/A,2,
"alpha-Benzoylbutyric acid, ethyl ester",2,4,
alpha-Benzoylbutyronitrile,2,4,
Benzoyl cyanide,N/A,1,
"alpha-Benzoyl-beta-ethoxy-acrylic acid, ethyl ester",1,N/A,
"Benzoyiformic acid, ethyl ester",4,4,
"Benzoyiformic acid, methyl ester",2,N/A,
"Benzoyl glycolic acid, 2-butoxyethyl ester",1,N/A,
"Benzoyl glycolic acid, butyl ester",1,N/A,
"Benzoyl glycolic acid, methyl-cyclohexyl ester(o,n,p mixed)",1,N/A,
"Benzoyl-alpha-hydroxy-isobutyric acid, ethyl ester",1,N/A,
O-Benzoyl lectic acid,N/A,N/A,
Benzoylmesitylene,2,1,
"2-Benzoyl-2-methyl-1,3-propanediol",N/A,3,
Benzoyl morpholide,N/A,2,
p-Benzoylphenylamido chloro-maleic acid,N/A,N/A,
2-Benzoyl-1-phenylhydrazine,N/A,1,
N-Benzoylpiperidine,N/A,4,
beta-Benzoylpropionic acid,N/A,1,
"beta-Benzoylpropionic acid, allyl ester",N/A,1,
"gamma-Benzoylpropionic acid, ethyl ester",2,2,
alpha-Benzoylpropionitrile,N/A,N/A,
N-Benzoylpyrrole,2,4,
"Benzoylpyruvic acid, ethyl ester",N/A,N/A,
N'-Benzoyleulfanilamide,N/A,1,
l-Benzoylthiourea,N/A,N/A,
Benzoyl-toluidine,N/A,N/A,
l-Benzoylurea,N/A,N/A,
"delta-Benzoylvaleric acid, allyl ester",N/A,N/A,
"alpha-Benzoylvaleric acid, ethyl ester",1,N/A,
"delta-Benzoylvaleric acid, iso-propyl ester",1,N/A,
alpha-Benzoylvaleronitrile,1,N/A,
"Benzylacetocetic acid, ethyl ester",2,4,
Benzyl alcohol,2,2,
p-Benzylaminophenol,N/A,1,
Benzylaniline,N/A,1,
"Benzylated mercaptan (Kilspor ""A"")",1,N/A,
N-Benzylbenzamide,N/A,N/A,
N-Benzylbenzanilide,N/A,N/A,
tert-Benzyl borneol,N/A,1,
Benzyl p-bromophenyl ether,N/A,1,
Benzyl sec-butyl ether,N/A,1,
Benzyl n-butyl sulfone,N/A,1,
Benzyl carboallyloxymethyl sulfone,1,N/A,
Benzyl beta-carboethoxyethyl sulfone,N/A,N/A,
Benzyl beta-carbomethoxyethyl sulfone,N/A,N/A,
Benzyl carbomethoxymethyl sulfone,N/A,N/A,
Benzyl carbonpopoxymethyl sulfone,N/A,N/A,
Benzyl-3-chloro-2-methylpropyl ether,N/A,N/A,
2-Benzyl-4-chlorophenol,N/A,N/A,
Benzyl cyanide,N/A,N/A,
"Benzylcyanoacetic acid, ethyl ester",1,2,
1-Benzylcyclohexanol-1,N/A,4,
2-Benzylcyclohexanol,2,N/A,
4-Benzylcyclohexanol,N/A,1,
Benzyl decyl sulfone,N/A,1,
Benzyl ethylene glycol diether,3,2,
"Benzyl x,x-diethylphenyl ether",2,1,
Benzyl ethylene glycol monoether,4,4,
Benzyl ethyl ether,1,N/A,
Benzyl 2-ethylphenyl ether,1,N/A,
Benzyl ethyl sulfone,N/A,1,
Benzyl eugenyl ether,1,N/A,
Benzyl glyceryl ether,1,N/A,
"N-Benzylglycine, butyl ester",4,3,
"N-Benzylglycine, ethyl ester",3,3,
Benzylidene bis-(dimethyl-dihydroresorcinol),N/A,2,
"Benzylidene malonic acid, diallyl ester",1,N/A,
"Benzylidenemalonic acid, diethyl ester",2,N/A,
"Benzylidenemalonic acid, dimethyl ester",2,1,
"Benzylidenemalonic acid, dipropyl ester",N/A,1,
"Benzylidenemalonic acid, di-iso-propyl ester",N/A,1,
"N-Benzyl imide of 1,2-dicarboxy-3,6-endomethylene-4-cyclohexene",N/A,2,
Benzyl isoeugenol,N/A,1,
"Benzylmalonic acid, diethyl ester",1,N/A,
Benzyl mostlyl ketone,1,2,
1-Benzyl-2-methylcyclohexanol,2,4,
Benzylmorpholine,3,4,
Benzyl alpha-naphthyl ether,N/A,1,
Benzyl beta-naphthyl ether,N/A,1,
"2-Benzyloxybenzoic acid, ethoxyethyl ester",1,N/A,
"2-Benzyloxybenzoic acid, ethyl ester",1,N/A,
"alpha-Benzyloxy-iso-butyric acid, benzyl ester",3,N/A,
